mos_id,dms_id,c_lote_origen,c_lote_destino,f_movimiento
1467826,1,30023010002001,43122110251001,2023-01-07 02:00:00
1467827,1,43222120001001,43122100066001,2023-01-07 02:00:00
1467828,1,30023010002001,46022120014001,2023-01-07 02:10:00
1467828,1,30022120030001,46022120014001,2023-01-07 02:10:00
1467833,1,31122050002001,43122100066001,2023-01-05 16:25:00
1467849,1,43523010022001,43123010059001,2023-01-16 23:30:00
1467868,1,30023010001001,43123010063001,2023-01-17 21:30:00
1467916,1,43222120029001,43322100060001,2023-01-09 22:15:00
1467917,1,43322120035001,43123010045001,2023-01-09 22:15:00
1467921,1,43322120026001,46022120014001,2023-01-10 13:00:00
1467927,1,30022080104001,43123010006001,2023-01-03 19:00:00
1467949,1,30022080121001,43122110155001,2023-01-12 16:10:00
1467964,1,30022100056001,30023010006001,2023-01-13 14:00:00
1467968,1,43323010010001,43122090218001,2023-01-13 13:30:00
1467970,1,43222110021001,43123010084001,2023-01-11 13:00:00
1467970,1,43122120139001,43123010084001,2023-01-11 13:00:00
1467974,1,43122120139001,46022050014001,2023-01-12 12:05:00
1467980,1,30022080109001,43123010086001,2023-01-13 12:30:00
1467982,1,30022080109001,43123010045001,2023-01-13 15:00:00
1468003,1,43322120037001,43122090218001,2023-01-14 03:00:00
1468004,1,30023010006001,30022100028001,2023-01-14 03:00:00
1468005,1,43322090046001,46022050014001,2023-01-14 03:00:00
1468014,1,43122090044001,43323010012001,2023-01-16 16:35:00
1468028,1,43323010012001,30023010007001,2023-01-16 18:00:00
1468030,1,43122090219001,43123010096001,2023-01-17 12:05:00
1468030,1,43122090218001,43123010096001,2023-01-17 12:05:00
1468032,1,43122090218001,43122090219001,2023-01-17 15:00:00
1468044,1,43121050121001,43323010014001,2023-01-19 11:00:00
1468044,1,43122040134001,43323010014001,2023-01-19 11:00:00
1468047,1,43123010086001,43323010015001,2023-01-16 14:25:00
1468057,1,43223010018001,43122100064001,2023-01-17 00:40:00
1468058,1,43322090083001,43322120001001,2023-01-17 00:40:00
1468068,1,43123010059001,43223010032001,2023-01-17 22:00:00
1468074,1,44622110010001,44622120011001,2023-01-17 14:30:00
1468086,1,44022100027001,43123010106001,2023-01-19 02:10:00
